address,latitude,longitude,name,province
3921 S 76th St,42.97331,-88.00820999999999,Pizza Hut,WI
1075 N Fairfield Rd,41.07553,-111.95069,Arctic Circle,UT
1607 Elkhart Rd,41.591667,-85.855147,Pizza Hut,IN
909 Hyatt St,35.077732,-81.70352700000001,Arby's,SC
2460 Mountain City Hwy,40.83757,-115.78953999999999,Burger King,NV
2598 Idaho St,40.85103,-115.74498,Pizza Barn,NV
313 Middle Country Rd,40.869655,-72.99981700000001,McDonald's,NY
9711 Fort Meade Rd,39.095464,-76.837806,Jerry's Subs & Pizza,MD
778 Brookway Blvd,31.579563,-90.459029,Burger King,MS
92 W Market St,42.1439,-77.0583,Rico's Pizza & Subs,NY
2 Wicks Blvd,42.13151,-77.03608,B's Pizza,NY
1104 Sunrise Hwy,40.689896000000005,-73.408119,Burger King,NY
425 E Main St,34.884512,-82.70476,McDonald's,SC
106 Garner Rd,34.966901,-81.929552,McDonald's,SC
2619 Brandermill Blvd,39.037925,-76.678372,Burger King,MD
613 E 4th Ave,34.811406,-79.174756,McDonald's,NC
104 School St,40.8672,-73.6307,Domino's Pizza,NY
2789 Interstate Highway 20,32.499851,-95.596225,Dairy Queen,TX
2789 Interstate Highway 20,32.499851,-95.596225,Dairy Queen,TX
111 State Highway 239 E,28.453428999999996,-96.888108,Dairy Queen,TX
1301 N Dickinson Dr,31.802884000000002,-95.148673,Dairy Queen,TX
300 S Main St,35.663865,-101.389964,Dairy Queen,TX
900 Highway 80,29.689434000000002,-97.667085,Dairy Queen,TX
849 E Commerce St,29.423059999999996,-98.484173,Dairy Queen,TX
2282 SE Military Dr,29.351346000000003,-98.458339,Dairy Queen,TX
2188 Great Neck Sq,36.875281,-76.038915,Hardee's,VA
505 W 21st St,36.869021000000004,-76.291956,Hardee's,VA
5000 W Broad St,37.585167,-77.496783,Hardee's,VA
3011 Hershberger Rd NW,37.303452,-79.983783,Hardee's,VA
850 London Blvd,36.836845000000004,-76.308136,Hardee's,VA
1032 E Main St,37.048369,-80.759749,Hardee's,VA
8405 Hampton Blvd,36.929187,-76.317875,Hardee's,VA
430 Denbigh Blvd,37.131199,-76.532961,Hardee's,VA
3750 Candlers Mountain Rd,37.365812,-79.172249,Hardee's,VA
501 S Hicks St,36.752234,-77.852597,Hardee's,VA
2231 Langhorne Rd,37.412957,-79.173991,Hardee's,VA
2310 E Overland Rd,43.590779,-116.365124,Port of Subs,ID
3635 S Rainbow Blvd,36.121721,-115.243007,Port of Subs,NV
8552 W Lake Mead Blvd,36.1991,-115.281057,Port of Subs,NV
9101 W Sahara Ave,36.14391,-115.295979,Port of Subs,NV
35 Dayton Valley Rd,39.237101,-119.58641000000001,Port of Subs,NV
45201 Schoenherr Rd,42.62877,-82.993912,Taco Bell,MI
3860 S State Rd,42.230907,-83.739813,Taco Bell,MI
9640 Hageman Rd,35.398432,-119.10936399999999,Taco Bell,CA
6255 Central Ave,41.575922999999996,-87.17319599999999,Dairy Queen,IN
6801 Highway 41 N,38.040812,-87.540047,Dairy Queen,IN
3826 English Ave,39.760374,-86.101163,Dairy Queen,IN
3303 Lincolnway E,41.66294,-86.12615,Dairy Queen,IN
4830 University Dr,37.977571000000005,-87.634586,Dairy Queen,IN
309 State Road 13 N,41.016467999999996,-85.759674,Dairy Queen,IN
